172.5	192.5
368.75	387.5
231.25	176.25
200	201.25
82.5	205
401.25	365
142.5	187.5
1.25	101.25
48.75	87.5
217.5	211.25
180	253.75
385	335
312.5	368.75
171.25	221.25
118.75	243.75
143.75	163.75
207.5	255
155	168.75
231.25	153.75
126.25	87.5
480	481.25
147.5	167.5
338.75	368.75
227.5	250
168.75	168.75
73.75	122.5
82.5	151.25
218.75	333.75
112.5	195
188.75	191.25
203.75	322.5
197.5	237.5
57.5	118.75
211.25	221.25
60	122.5
383.75	418.75
195	226.25
128.75	193.75
73.75	161.25
253.75	148.75
88.75	110
400	467.5
147.5	272.5
73.75	2.5
252.5	321.25
128.75	186.25
266.25	403.75
206.25	242.5
91.25	102.5
161.25	171.25
120	242.5
213.75	231.25
186.25	301.25
90	66.25
321.25	321.25
231.25	221.25
180	201.25
1.25	166.25
112.5	65
61.25	13.75
190	192.5
156.25	241.25
350	318.75
341.25	275
155	203.75
146.25	195
121.25	158.75
211.25	152.5
136.25	321.25
126.25	127.5
2.5	42.5
230	268.75
212.5	285
177.5	121.25
86.25	86.25
205	241.25
128.75	147.5
277.5	230
328.75	270
176.25	227.5
220	283.75
35	80
125	86.25
262.5	231.25
101.25	185
323.75	366.25
97.5	153.75
117.5	87.5
245	278.75
236.25	187.5
198.75	150
210	245
101.25	43.75
307.5	358.75
52.5	73.75
72.5	6.25
1.25	2.5
111.25	91.25
98.75	123.75
112.5	282.5
96.25	143.75
35	193.75
167.5	168.75
158.75	218.75
142.5	142.5
301.25	275
141.25	212.5
101.25	101.25
108.75	156.25
152.5	232.5
141.25	105
6.25	193.75
132.5	111.25
1.25	91.25
135	153.75
445	485
161.25	453.75
276.25	258.75
245	236.25
191.25	151.25
135	177.5
146.25	171.25
163.75	185
70	116.25
322.5	397.5
156.25	176.25
395	346.25
281.25	202.5
123.75	221.25
252.5	208.75
143.75	165
105	126.25
240	226.25
287.5	246.25
53.75	2.5
282.5	195
292.5	313.75
155	136.25
95	235
207.5	161.25
335	386.25
60	157.5
303.75	313.75
137.5	130
223.75	183.75
261.25	301.25
87.5	243.75
190	335
217.5	218.75
177.5	255
246.25	452.5
622.5	635
216.25	183.75
190	201.25
196.25	121.25
190	190
168.75	56.25
256.25	383.75
206.25	263.75
205	306.25
106.25	393.75
193.75	265
68.75	225
162.5	141.25
223.75	233.75
133.75	231.25
275	273.75
77.5	91.25
108.75	101.25
332.5	295
253.75	391.25
26.25	73.75
122.5	230
142.5	212.5
123.75	152.5
158.75	182.5
192.5	205
127.5	112.5
30	60
157.5	196.25
302.5	340
232.5	196.25
121.25	131.25
147.5	178.75
98.75	200
161.25	163.75
268.75	290
60	131.25
47.5	41.25
61.25	82.5
206.25	217.5
