1.25 70.9375 49.4767543272
6.25 71.25 55.1064311129
47.5 120.833333333 40.7780237655
72.5 67.0833333333 43.4493638874
83.75 143.333333333 35.7411605233
91.25 101.666666667 22.2282977806
92.5 184.166666667 102.196365993
98.75 133.333333333 94.9030938496
100.0 88.4375 36.6824953997
105.0 83.3333333333 16.4041830709
115.0 110.625 45.9066648211
126.25 139.375 22.750343404
141.25 214.583333333 70.3068670583
162.5 192.75 74.495805251
172.5 210.833333333 27.5819486057
177.5 122.8125 20.6793790707
193.75 192.5 38.2834820778
208.75 192.083333333 114.265468197
231.25 265.0 38.4192876908
233.75 238.75 60.1387285089
338.75 310.416666667 22.7379394161
