100	118.75
165	312.5
378.75	311.25
170	168.75
87.5	145
372.5	306.25
358.75	280
335	210
341.25	253.75
95	126.25
560	453.75
96.25	126.25
120	101.25
15	148.75
120	120
118.75	2.5
313.75	380
46.25	98.75
86.25	237.5
310	281.25
252.5	185
122.5	137.5
150	95
162.5	143.75
175	186.25
342.5	235
237.5	295
102.5	57.5
103.75	231.25
113.75	168.75
236.25	206.25
56.25	105
142.5	142.5
125	206.25
95	65
287.5	302.5
193.75	275
256.25	172.5
83.75	187.5
253.75	190
232.5	306.25
297.5	240
197.5	207.5
177.5	176.25
125	86.25
147.5	157.5
141.25	113.75
57.5	8.75
188.75	242.5
93.75	102.5
252.5	165
178.75	192.5
116.25	175
92.5	156.25
276.25	223.75
27.5	37.5
276.25	182.5
63.75	216.25
260	163.75
262.5	293.75
265	336.25
396.25	340
302.5	276.25
115	93.75
75	157.5
347.5	280
443.75	400
208.75	245
306.25	256.25
177.5	166.25
205	273.75
206.25	263.75
213.75	192.5
113.75	102.5
193.75	143.75
326.25	298.75
206.25	228.75
351.25	287.5
122.5	196.25
103.75	92.5
112.5	158.75
371.25	312.5
273.75	180
340	252.5
315	270
190	237.5
115	70
285	131.25
203.75	172.5
177.5	245
263.75	235
241.25	263.75
761.25	516.25
481.25	643.75
172.5	208.75
207.5	206.25
98.75	70
258.75	111.25
447.5	401.25
431.25	318.75
101.25	218.75
148.75	71.25
211.25	263.75
82.5	155
5	195
55	108.75
350	255
171.25	173.75
101.25	72.5
212.5	398.75
265	241.25
188.75	252.5
1.25	103.75
121.25	98.75
121.25	122.5
371.25	317.5
281.25	241.25
375	330
496.25	455
161.25	178.75
126.25	127.5
